#k-distance eigenvalue[eV]
0.44436419 -11.41724063
0.46456257 -11.36914063
0.48476094 -11.32704063
0.50495931 -11.29164063
0.52515769 -11.26334063
0.54535606 -11.24284063
0.56555443 -11.23034063
0.58575281 -11.22614063
0.58575281 -11.22614063
0.60595118 -11.23034063
0.62614955 -11.24284063
0.64634793 -11.26334063
0.66654630 -11.29164063
0.68674467 -11.32704063
0.70694305 -11.36914063
0.72714142 -11.41724063
0.74733978 -11.47064063
0.76753816 -11.52874063
0.78773653 -11.59094063
0.80793490 -11.65634063
0.82813328 -11.72454063
0.84833165 -11.79484063
0.86853002 -11.86674063
0.88872840 -11.93954063
0.90892677 -12.01294063
0.92912514 -12.08624063
0.94932352 -12.15904063
0.96952189 -12.23074063
0.98972026 -12.30084063
1.00991864 -12.36864063
1.03011700 -12.43334063
1.05031537 -12.49414063
1.07051375 -12.54984063
1.09071212 -12.59914063
1.11091049 -12.64044063
1.13110887 -12.67184063
1.15130724 -12.69164063
1.17150561 -12.69834063
1.17150561 -12.69834063
1.20738236 -12.69624063
1.24325913 -12.68974063
1.27913587 -12.67914063
1.31501262 -12.66434063
1.35088936 -12.64564063
1.38676613 -12.62324063
1.42264287 -12.59734063
1.45851962 -12.56824063
1.49439639 -12.53644063
1.53027314 -12.50224063
1.56614988 -12.46604063
1.60202662 -12.42844063
1.63790339 -12.38994063
1.67378014 -12.35114063
1.70965688 -12.31254063
1.74553365 -12.27494063
1.78141040 -12.23894063
1.81728714 -12.20524063
1.85316388 -12.17454063
1.88904066 -12.14744063
1.92491740 -12.12464063
1.96079414 -12.10664063
1.99667091 -12.09404063
2.03254766 -12.08694063
2.06842440 -12.08564063
2.10430115 -12.08984063
2.14017792 -12.09904063
2.17605466 -12.11164063
2.21193140 -12.12024063
2.21193140 -12.12024063
2.24725752 -12.11204063
2.28258363 -12.09854063
2.31790978 -12.08654063
2.35323589 -12.07724063
2.38856201 -12.07104063
2.42388812 -12.06784063
2.45921427 -12.06744063
2.49454038 -12.06974063
2.52986650 -12.07444063
2.56519264 -12.08154063
2.60051876 -12.09054063
2.63584487 -12.10154063
2.67117098 -12.11394063
2.70649713 -12.12774063
2.74182324 -12.14264063
2.77714936 -12.15824063
2.81247550 -12.17424063
2.84780162 -12.19054063
2.88312773 -12.20664063
2.91845385 -12.22234063
2.95377999 -12.23724063
2.98910611 -12.25114063
3.02443222 -12.26374063
3.05975837 -12.27484063
3.09508448 -12.28424063
3.13041060 -12.29174063
3.16573671 -12.29714063
3.20106286 -12.30044063
3.23638897 -12.30154063
3.23638897 -12.30154063
3.26698229 -12.30074063
3.29757561 -12.29834063
3.32816893 -12.29464063
3.35876226 -12.28964063
3.38935558 -12.28354063
3.41994890 -12.27654063
3.45054222 -12.26904063
3.48113552 -12.26104063
3.51172885 -12.25284063
3.54232217 -12.24484063
3.57291549 -12.23714063
3.60350881 -12.23014063
3.63410213 -12.22394063
3.66469545 -12.21894063
3.69528877 -12.21534063
3.72588210 -12.21334063
3.75647542 -12.21314063
3.78706874 -12.21494063
3.81766206 -12.21884063
3.84825538 -12.22494063
3.87884870 -12.23334063
3.90944201 -12.24384063
3.94003533 -12.25564063
3.97062865 -12.26634063
4.00122197 -12.26494063
4.03181529 -12.22944063
4.06240861 -12.17514063
4.09300193 -12.12144063
4.12359526 -12.07364063

